2023-01-25 13:33:13 [main] INFO  com.kob.backend.BackendApplication - Starting BackendApplication using Java 1.8.0_202 on DESKTOP-U0P6EDB with PID 10340 (E:\java2\kob\backendcloud\backend\target\classes started by A in E:\java2\kob\backendcloud)
2023-01-25 13:33:13 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2023-01-25 13:33:14 [main] INFO  com.kob.backend.BackendApplication - The following 1 profile is active: "dev"
2023-01-25 13:33:22 [main] INFO  com.kob.backend.config.JacksonConfig - 初始化 jackson 配置
2023-01-25 13:33:23 [main] INFO  com.kob.backend.config.RedisConfig - 初始化 redis 配置
2023-01-25 13:33:23 [main] INFO  org.redisson.Version - Redisson 3.17.5
2023-01-25 13:33:28 [redisson-netty-2-1] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6379
2023-01-25 13:33:28 [redisson-netty-2-4] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for localhost/127.0.0.1:6379
2023-01-25 13:33:30 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-3000"]
2023-01-25 13:33:30 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-01-25 13:33:30 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-01-25 13:33:30 [main] INFO  o.a.c.c.C.[.[localhost].[/kob] - Initializing Spring embedded WebApplicationContext
2023-01-25 13:33:31 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2023-01-25 13:33:31 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2023-01-25 13:33:31 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2023-01-25 13:33:31 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2023-01-25 13:33:31 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2023-01-25 13:33:31 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2023-01-25 13:33:43 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-3000"]
2023-01-25 13:33:43 [main] INFO  com.kob.backend.BackendApplication - Started BackendApplication in 31.17 seconds (JVM running for 37.756)
2023-01-25 13:33:43 [main] INFO  c.k.b.s.I.o.SysOssConfigServiceImpl - 发布刷新OSS配置 => minio
2023-01-25 13:33:43 [main] INFO  c.k.b.s.I.o.SysOssConfigServiceImpl - 发布刷新OSS配置 => qiniu
2023-01-25 13:33:43 [main] INFO  c.k.b.s.I.o.SysOssConfigServiceImpl - 发布刷新OSS配置 => aliyun
2023-01-25 13:33:43 [main] INFO  c.k.b.s.I.o.SysOssConfigServiceImpl - 发布刷新OSS配置 => qcloud
2023-01-25 13:33:43 [main] INFO  c.k.b.s.I.o.SysOssConfigServiceImpl - 发布刷新OSS配置 => image
2023-01-25 13:33:43 [main] INFO  com.kob.oss.factory.OssFactory - 初始化OSS工厂
2023-01-25 13:33:43 [main] INFO  c.k.b.runner.SystemApplicationRunner - 初始化OSS配置成功
2023-01-25 13:33:44 [RMI TCP Connection(1)-192.168.93.1] INFO  o.a.c.c.C.[.[localhost].[/kob] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-01-25 13:46:56 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2023-01-25 13:46:56 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2023-01-25 13:46:56 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2023-01-25 13:46:56 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2023-01-25 13:47:33 [main] INFO  com.kob.backend.BackendApplication - Starting BackendApplication using Java 1.8.0_202 on DESKTOP-U0P6EDB with PID 8836 (E:\java2\kob\backendcloud\backend\target\classes started by A in E:\java2\kob\backendcloud)
